# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 279:         6.574       52.750      15.80  HOOGEVEEN
# 310:         3.596       51.442       8.00  VLISSINGEN
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG
# 
  260,20050101,   69
  260,20050102,   64
  260,20050103,   75
  260,20050104,   76
  260,20050105,   59
  260,20050106,   77
  260,20050107,  112
  260,20050108,   91
  260,20050109,   75
  260,20050110,  113
  260,20050111,  101
  260,20050112,   79
  260,20050113,   56
  260,20050114,   29
  260,20050115,    3
  260,20050116,   12
  260,20050117,   63
  260,20050118,   47
  260,20050119,   55
  260,20050120,   96
  260,20050121,   58
  260,20050122,   39
  260,20050123,   16
  260,20050124,    6
  260,20050125,   -3
  260,20050126,   -8
  260,20050127,   13
  260,20050128,   20
  260,20050129,   12
  260,20050130,   59
  260,20050131,   65
  260,20050201,   46
  260,20050202,   62
  260,20050203,   65
  260,20050204,   55
  260,20050205,   23
  260,20050206,   25
  260,20050207,   -8
  260,20050208,   -4
  260,20050209,   52
  260,20050210,   74
  260,20050211,   66
  260,20050212,   81
  260,20050213,   35
  260,20050214,   36
  260,20050215,   17
  260,20050216,    0
  260,20050217,    6
  260,20050218,   18
  260,20050219,   24
  260,20050220,   22
  260,20050221,   18
  260,20050222,    2
  260,20050223,   -3
  260,20050224,    0
  260,20050225,    0
  260,20050226,   12
  260,20050227,  -24
  260,20050228,  -31
  260,20050301,  -13
  260,20050302,   -7
  260,20050303,  -24
  260,20050304,  -55
  260,20050305,  -16
  260,20050306,  -11
  260,20050307,   35
  260,20050308,   49
  260,20050309,   44
  260,20050310,   27
  260,20050311,   45
  260,20050312,   36
  260,20050313,   45
  260,20050314,   40
  260,20050315,   81
  260,20050316,  139
  260,20050317,  111
  260,20050318,   94
  260,20050319,   95
  260,20050320,   78
  260,20050321,   99
  260,20050322,  122
  260,20050323,  121
  260,20050324,  128
  260,20050325,  104
  260,20050326,  108
  260,20050327,  116
  260,20050328,  104
  260,20050329,  104
  260,20050330,  118
  260,20050331,  111
  260,20050401,  102
  260,20050402,  108
  260,20050403,  138
  260,20050404,  118
  260,20050405,   90
  260,20050406,   88
  260,20050407,   91
  260,20050408,   64
  260,20050409,   48
  260,20050410,   78
  260,20050411,  104
  260,20050412,   99
  260,20050413,  105
  260,20050414,  124
  260,20050415,  107
  260,20050416,   78
  260,20050417,  116
  260,20050418,  105
  260,20050419,   86
  260,20050420,   88
  260,20050421,   83
  260,20050422,   89
  260,20050423,  112
  260,20050424,  126
  260,20050425,  127
  260,20050426,  106
  260,20050427,  114
  260,20050428,  129
  260,20050429,  142
  260,20050430,  151
  260,20050501,  196
  260,20050502,  151
  260,20050503,  138
  260,20050504,  118
  260,20050505,   98
  260,20050506,  104
  260,20050507,   85
  260,20050508,   77
  260,20050509,   79
  260,20050510,   80
  260,20050511,   82
  260,20050512,   89
  260,20050513,  118
  260,20050514,  109
  260,20050515,  107
  260,20050516,   91
  260,20050517,   67
  260,20050518,   83
  260,20050519,  133
  260,20050520,  165
  260,20050521,  156
  260,20050522,  146
  260,20050523,  124
  260,20050524,  136
  260,20050525,  174
  260,20050526,  206
  260,20050527,  226
  260,20050528,  197
  260,20050529,  142
  260,20050530,  103
  260,20050531,  118
  260,20050601,  135
  260,20050602,  156
  260,20050603,  173
  260,20050604,  143
  260,20050605,  143
  260,20050606,  117
  260,20050607,  108
  260,20050608,  117
  260,20050609,  132
  260,20050610,  128
  260,20050611,  113
  260,20050612,  118
  260,20050613,  119
  260,20050614,  142
  260,20050615,  163
  260,20050616,  180
  260,20050617,  189
  260,20050618,  200
  260,20050619,  225
  260,20050620,  252
  260,20050621,  203
  260,20050622,  196
  260,20050623,  235
  260,20050624,  256
  260,20050625,  186
  260,20050626,  172
  260,20050627,  175
  260,20050628,  187
  260,20050629,  191
  260,20050630,  174
  260,20050701,  166
  260,20050702,  177
  260,20050703,  200
  260,20050704,  172
  260,20050705,  148
  260,20050706,  149
  260,20050707,  152
  260,20050708,  148
  260,20050709,  169
  260,20050710,  218
  260,20050711,  201
  260,20050712,  201
  260,20050713,  196
  260,20050714,  213
  260,20050715,  203
  260,20050716,  168
  260,20050717,  177
  260,20050718,  200
  260,20050719,  179
  260,20050720,  163
  260,20050721,  153
  260,20050722,  147
  260,20050723,  147
  260,20050724,  169
  260,20050725,  173
  260,20050726,  153
  260,20050727,  179
  260,20050728,  220
  260,20050729,  209
  260,20050730,  175
  260,20050731,  148
  260,20050801,  155
  260,20050802,  149
  260,20050803,  153
  260,20050804,  165
  260,20050805,  147
  260,20050806,  136
  260,20050807,  134
  260,20050808,  155
  260,20050809,  146
  260,20050810,  155
  260,20050811,  161
  260,20050812,  141
  260,20050813,  158
  260,20050814,  159
  260,20050815,  151
  260,20050816,  160
  260,20050817,  173
  260,20050818,  203
  260,20050819,  189
  260,20050820,  176
  260,20050821,  179
  260,20050822,  169
  260,20050823,  151
  260,20050824,  156
  260,20050825,  148
  260,20050826,  142
  260,20050827,  151
  260,20050828,  163
  260,20050829,  181
  260,20050830,  189
  260,20050831,  225
  260,20050901,  197
  260,20050902,  185
  260,20050903,  180
  260,20050904,  190
  260,20050905,  205
  260,20050906,  193
  260,20050907,  189
  260,20050908,  204
  260,20050909,  208
  260,20050910,  206
  260,20050911,  181
  260,20050912,  169
  260,20050913,  154
  260,20050914,  163
  260,20050915,  147
  260,20050916,  116
  260,20050917,   98
  260,20050918,  107
  260,20050919,  116
  260,20050920,  123
  260,20050921,  131
  260,20050922,  135
  260,20050923,  148
  260,20050924,  153
  260,20050925,  154
  260,20050926,  148
  260,20050927,  142
  260,20050928,  132
  260,20050929,  117
  260,20050930,  124
  260,20051001,  135
  260,20051002,  111
  260,20051003,  111
  260,20051004,  122
  260,20051005,  136
  260,20051006,  129
  260,20051007,  135
  260,20051008,  139
  260,20051009,  138
  260,20051010,  158
  260,20051011,  151
  260,20051012,  152
  260,20051013,  147
  260,20051014,  150
  260,20051015,  133
  260,20051016,  113
  260,20051017,   88
  260,20051018,   94
  260,20051019,   98
  260,20051020,  120
  260,20051021,  121
  260,20051022,  124
  260,20051023,  107
  260,20051024,  128
  260,20051025,  144
  260,20051026,  141
  260,20051027,  161
  260,20051028,  163
  260,20051029,  165
  260,20051030,  165
  260,20051031,  157
  260,20051101,  122
  260,20051102,  124
  260,20051103,  159
  260,20051104,  124
  260,20051105,   89
  260,20051106,  113
  260,20051107,  111
  260,20051108,  116
  260,20051109,   85
  260,20051110,   82
  260,20051111,  121
  260,20051112,   93
  260,20051113,   71
  260,20051114,   52
  260,20051115,   79
  260,20051116,   55
  260,20051117,   40
  260,20051118,   29
  260,20051119,   32
  260,20051120,   54
  260,20051121,   64
  260,20051122,   25
  260,20051123,   39
  260,20051124,   43
  260,20051125,   24
  260,20051126,   18
  260,20051127,   11
  260,20051128,   21
  260,20051129,   30
  260,20051130,   29
  260,20051201,   17
  260,20051202,   33
  260,20051203,   72
  260,20051204,   77
  260,20051205,   62
  260,20051206,   58
