Date,Bilt,Hoogeveen,Vlissingen
21-09-00,137,105,168
22-09-00,154,132,176
23-09-00,165,133,186
24-09-00,147,127,160
25-09-00,152,137,158
26-09-00,169,144,183
27-09-00,161,159,167
28-09-00,158,155,159
29-09-00,169,167,169
30-09-00,159,155,157
01-10-00,138,145,153
02-10-00,124,131,141
03-10-00,127,127,148
04-10-00,122,122,146
05-10-00,121,125,137
06-10-00,92,90,122
07-10-00,84,71,107
08-10-00,101,82,120
09-10-00,96,100,115
10-10-00,94,91,106
11-10-00,104,96,114
12-10-00,117,117,121
13-10-00,116,115,115
14-10-00,98,82,102
15-10-00,103,106,112
16-10-00,123,135,116
17-10-00,102,105,120
18-10-00,99,94,117
19-10-00,107,98,131
20-10-00,113,85,130
21-10-00,149,138,146
22-10-00,149,138,146
23-10-00,146,146,146
24-10-00,122,118,128
25-10-00,122,116,130
26-10-00,102,96,123
27-10-00,108,103,121
28-10-00,132,129,136
29-10-00,101,101,107
30-10-00,105,104,110
31-10-00,92,88,103
01-11-00,76,75,89
02-11-00,78,81,92
03-11-00,77,80,90
04-11-00,68,70,80
05-11-00,71,63,80
06-11-00,94,65,103
07-11-00,85,80,88
08-11-00,82,84,86
09-11-00,78,79,84
10-11-00,71,72,79
11-11-00,86,78,96
12-11-00,87,85,93
13-11-00,79,75,85
14-11-00,56,57,66
15-11-00,57,59,66
16-11-00,72,72,77
17-11-00,50,53,63
18-11-00,64,57,80
19-11-00,91,81,93
20-11-00,63,63,66
21-11-00,62,53,73
22-11-00,86,79,89
23-11-00,84,68,86
24-11-00,70,70,78
25-11-00,72,59,85
26-11-00,76,68,82
27-11-00,66,61,72
28-11-00,119,107,116
29-11-00,111,115,112
30-11-00,106,91,95
01-12-00,116,110,111
02-12-00,105,103,98
03-12-00,84,81,88
04-12-00,70,71,83
05-12-00,96,93,101
06-12-00,109,105,105
07-12-00,98,93,97
08-12-00,122,118,119
09-12-00,94,95,94
10-12-00,96,90,101
11-12-00,120,112,115
12-12-00,131,128,123
13-12-00,108,105,106
14-12-00,74,71,81
15-12-00,56,53,67
16-12-00,41,39,54
17-12-00,25,29,47
18-12-00,32,12,52
19-12-00,27,-1,64
20-12-00,16,-2,49
21-12-00,-1,-18,35
22-12-00,-23,-41,18
23-12-00,-20,-34,25
24-12-00,6,-1,12
25-12-00,-6,-27,7
26-12-00,-22,-28,-10
27-12-00,-10,-13,-1
28-12-00,5,0,19
29-12-00,6,-2,15
30-12-00,17,9,40
31-12-00,-1,-14,26
