Date,Bilt,Hoogeveen,Vlissingen
28-04-10,157,154,150
29-04-10,177,182,162
30-04-10,117,117,111
01-05-10,100,95,105
02-05-10,75,78,89
03-05-10,66,73,71
04-05-10,77,74,80
05-05-10,79,80,87
06-05-10,92,85,91
07-05-10,77,70,85
08-05-10,90,89,91
09-05-10,93,78,97
10-05-10,72,70,84
11-05-10,68,68,76
12-05-10,65,65,71
13-05-10,72,75,82
14-05-10,76,83,89
15-05-10,91,93,100
16-05-10,119,113,112
17-05-10,116,108,112
18-05-10,101,95,104
19-05-10,118,111,117
20-05-10,138,132,134
21-05-10,145,131,138
22-05-10,142,123,124
23-05-10,169,165,162
24-05-10,169,157,159
25-05-10,132,109,144
26-05-10,102,95,105
27-05-10,110,113,115
28-05-10,108,115,126
29-05-10,141,137,142
30-05-10,121,124,130
31-05-10,129,124,120
01-06-10,126,146,123
02-06-10,155,144,138
03-06-10,160,147,161
04-06-10,169,147,172
05-06-10,191,167,201
06-06-10,185,196,169
07-06-10,152,140,150
08-06-10,163,162,167
09-06-10,176,169,167
10-06-10,186,195,174
11-06-10,162,171,146
12-06-10,138,140,139
13-06-10,133,139,142
14-06-10,159,149,160
15-06-10,132,118,137
16-06-10,154,144,149
17-06-10,166,155,163
18-06-10,132,124,132
19-06-10,118,112,119
20-06-10,118,116,120
21-06-10,134,119,133
22-06-10,141,129,155
23-06-10,181,179,188
24-06-10,196,200,180
25-06-10,189,173,192
26-06-10,192,178,204
27-06-10,213,205,221
28-06-10,215,222,199
29-06-10,194,197,186
30-06-10,202,174,194
01-07-10,224,218,211
02-07-10,271,262,235
03-07-10,215,226,185
04-07-10,201,205,185
05-07-10,188,182,177
06-07-10,162,161,169
07-07-10,187,184,195
08-07-10,220,234,216
09-07-10,248,253,234
10-07-10,248,261,219
11-07-10,229,234,214
12-07-10,208,207,199
13-07-10,207,202,202
14-07-10,214,224,199
15-07-10,188,185,189
16-07-10,191,194,190
17-07-10,171,166,173
18-07-10,176,174,177
19-07-10,207,203,213
20-07-10,232,221,236
21-07-10,221,217,203
22-07-10,184,195,187
23-07-10,174,177,178
24-07-10,166,143,179
25-07-10,168,157,185
26-07-10,168,163,179
27-07-10,177,181,188
28-07-10,187,173,189
29-07-10,167,158,175
30-07-10,177,164,190
31-07-10,185,181,188
01-08-10,182,190,182
02-08-10,161,158,178
03-08-10,172,155,184
04-08-10,165,158,170
05-08-10,153,155,171
06-08-10,164,154,183
07-08-10,175,170,181
08-08-10,171,177,178
09-08-10,179,170,185
10-08-10,175,180,181
11-08-10,169,171,182
12-08-10,141,149,170
13-08-10,156,150,166
14-08-10,182,174,177
15-08-10,175,182,177
16-08-10,192,176,169
17-08-10,164,153,164
18-08-10,169,161,169
19-08-10,168,160,173
20-08-10,207,197,198
21-08-10,214,204,201
22-08-10,198,194,194
23-08-10,193,188,192
24-08-10,168,153,172
25-08-10,165,151,168
26-08-10,168,144,191
27-08-10,148,132,160
28-08-10,135,132,159
29-08-10,126,116,150
30-08-10,141,128,154
31-08-10,128,127,152
01-09-10,123,128,147
02-09-10,129,128,150
03-09-10,140,126,151
04-09-10,138,126,153
05-09-10,135,120,159
06-09-10,151,136,166
07-09-10,125,124,160
08-09-10,155,146,147
09-09-10,162,143,169
10-09-10,158,151,168
11-09-10,184,174,179
12-09-10,153,145,161
13-09-10,149,144,163
14-09-10,156,153,168
15-09-10,139,129,153
16-09-10,125,116,141
17-09-10,114,113,131
18-09-10,117,101,134
19-09-10,133,113,143
20-09-10,153,140,156
21-09-10,144,135,152
22-09-10,151,142,172
23-09-10,160,161,164
24-09-10,149,145,149
25-09-10,113,104,121
26-09-10,86,93,117
27-09-10,100,118,115
28-09-10,127,109,136
29-09-10,97,78,137
30-09-10,100,96,141
01-10-10,120,117,138
02-10-10,153,137,162
03-10-10,182,175,179
04-10-10,172,169,173
05-10-10,167,153,163
06-10-10,160,157,159
07-10-10,140,138,153
08-10-10,142,135,152
09-10-10,136,119,150
10-10-10,113,92,137
11-10-10,96,79,115
12-10-10,85,62,105
13-10-10,83,80,116
14-10-10,94,99,114
15-10-10,103,101,113
16-10-10,74,66,95
17-10-10,47,44,81
18-10-10,68,61,101
19-10-10,90,85,105
20-10-10,62,59,78
21-10-10,78,70,87
22-10-10,90,89,95
23-10-10,72,69,85
24-10-10,75,74,94
25-10-10,53,65,89
26-10-10,64,67,82
27-10-10,89,82,99
28-10-10,113,105,112
29-10-10,100,99,115
30-10-10,112,109,119
31-10-10,92,82,108
01-11-10,82,77,109
02-11-10,110,99,113
03-11-10,128,120,133
04-11-10,152,144,147
05-11-10,137,128,140
06-11-10,93,79,104
07-11-10,55,40,76
08-11-10,49,33,67
09-11-10,46,36,66
10-11-10,54,50,71
11-11-10,68,54,82
12-11-10,113,104,119
13-11-10,104,96,107
14-11-10,112,109,110
15-11-10,58,61,77
16-11-10,20,42,66
17-11-10,39,40,54
18-11-10,53,46,65
19-11-10,71,57,78
20-11-10,70,68,67
21-11-10,52,56,52
22-11-10,45,49,49
23-11-10,46,42,57
24-11-10,35,26,46
25-11-10,24,8,29
26-11-10,-1,-25,21
27-11-10,-5,-29,13
28-11-10,-30,-35,4
29-11-10,-22,-18,-16
30-11-10,-16,-26,-7
01-12-10,-62,-65,-44
02-12-10,-69,-55,-55
03-12-10,-54,-46,-39
04-12-10,-21,-28,0
05-12-10,23,17,37
06-12-10,-4,2,8
07-12-10,-23,-24,-19
08-12-10,-21,-27,5
09-12-10,27,3,44
10-12-10,38,16,59
11-12-10,71,56,67
12-12-10,31,13,47
13-12-10,-17,-19,8
14-12-10,-25,-33,-7
15-12-10,4,-22,32
16-12-10,15,-6,28
17-12-10,-22,-36,-1
18-12-10,-41,-66,-15
19-12-10,-49,-69,-10
20-12-10,-77,-71,-9
21-12-10,-39,-74,-11
22-12-10,-21,-39,-3
23-12-10,-7,-14,7
24-12-10,-12,-26,3
25-12-10,-16,-51,4
26-12-10,5,-10,27
27-12-10,-6,-1,-1
28-12-10,4,-20,13
29-12-10,4,-63,23
30-12-10,-16,-33,22
31-12-10,25,17,30
