Date,Bilt,Hoogeveen,Vlissingen
01-01-10,-16,-31,6
02-01-10,-11,-39,12
03-01-10,-39,-74,-15
04-01-10,-29,-38,-4
05-01-10,-7,-14,5
06-01-10,-30,-38,-21
07-01-10,-49,-36,-25
08-01-10,-50,-57,-37
09-01-10,-22,-25,-12
10-01-10,-5,-2,-2
11-01-10,-4,-7,-2
12-01-10,-17,-35,-1
13-01-10,-30,-40,-4
14-01-10,6,-5,17
15-01-10,13,5,13
16-01-10,10,-1,22
17-01-10,39,13,46
18-01-10,40,29,37
19-01-10,40,24,41
20-01-10,27,10,25
21-01-10,27,-3,29
22-01-10,22,-21,34
23-01-10,13,-26,33
24-01-10,-2,-31,29
25-01-10,-32,-54,6
26-01-10,-75,-76,-35
27-01-10,-23,-24,-2
28-01-10,32,16,40
29-01-10,19,2,29
30-01-10,0,-12,21
31-01-10,12,7,22
01-02-10,1,-10,24
02-02-10,23,7,35
03-02-10,22,11,33
04-02-10,58,26,52
05-02-10,44,23,46
06-02-10,28,9,32
07-02-10,12,-11,22
08-02-10,-32,-49,-7
09-02-10,-33,-46,-22
10-02-10,-31,-34,-12
11-02-10,-25,-36,-13
12-02-10,-28,-36,-9
13-02-10,-17,-19,-9
14-02-10,-23,-36,-5
15-02-10,-36,-59,-17
16-02-10,-9,-15,9
17-02-10,-2,-26,5
18-02-10,32,13,28
19-02-10,33,31,28
20-02-10,14,8,17
21-02-10,6,-3,23
22-02-10,40,25,44
23-02-10,21,4,28
24-02-10,63,36,56
25-02-10,82,70,67
26-02-10,73,70,62
27-02-10,68,58,59
28-02-10,64,56,56
01-03-10,42,35,40
02-03-10,29,28,37
03-03-10,20,22,32
04-03-10,15,6,27
05-03-10,18,9,34
06-03-10,8,-6,21
07-03-10,-10,-13,0
08-03-10,1,4,10
09-03-10,5,0,11
10-03-10,7,-6,17
11-03-10,26,25,23
12-03-10,46,41,40
13-03-10,52,45,50
14-03-10,62,49,56
15-03-10,63,44,58
16-03-10,63,43,65
17-03-10,84,74,71
18-03-10,108,101,90
19-03-10,125,110,106
20-03-10,136,125,106
21-03-10,86,88,70
22-03-10,78,73,79
23-03-10,98,92,81
24-03-10,124,114,103
25-03-10,146,141,109
26-03-10,106,98,91
27-03-10,98,88,82
28-03-10,91,83,81
29-03-10,101,90,93
30-03-10,102,106,86
31-03-10,65,71,59
01-04-10,52,47,60
02-04-10,78,79,73
03-04-10,73,80,77
04-04-10,71,74,73
05-04-10,78,79,77
06-04-10,110,103,102
07-04-10,136,130,104
08-04-10,92,94,84
09-04-10,104,92,95
10-04-10,78,53,75
11-04-10,63,57,73
12-04-10,93,90,91
13-04-10,90,88,88
14-04-10,96,88,90
15-04-10,92,83,93
16-04-10,77,70,78
17-04-10,80,74,80
18-04-10,102,99,95
19-04-10,88,74,95
20-04-10,86,74,88
21-04-10,67,61,71
22-04-10,70,53,70
23-04-10,80,70,88
24-04-10,117,112,126
25-04-10,143,153,123
26-04-10,126,125,106
27-04-10,124,125,133
