Date,Bilt,Hoogeveen,Vlissingen
02-07-15,254,258,209
03-07-15,241,235,223
04-07-15,256,246,224
05-07-15,202,201,182
06-07-15,187,178,181
07-07-15,198,200,189
08-07-15,159,153,161
09-07-15,135,123,153
10-07-15,165,153,190
11-07-15,204,195,195
12-07-15,177,168,174
13-07-15,174,169,174
14-07-15,179,181,178
15-07-15,179,172,180
16-07-15,196,190,200
17-07-15,217,209,200
18-07-15,182,173,179
19-07-15,162,150,175
20-07-15,178,177,189
21-07-15,210,199,193
22-07-15,195,181,186
23-07-15,178,166,180
24-07-15,184,178,195
25-07-15,149,155,158
26-07-15,148,146,153
27-07-15,166,157,169
28-07-15,152,152,163
29-07-15,141,134,151
30-07-15,138,139,136
31-07-15,133,129,159
01-08-15,151,146,180
02-08-15,177,164,192
03-08-15,215,212,205
04-08-15,180,164,178
05-08-15,189,174,201
06-08-15,205,202,192
07-08-15,206,197,189
08-08-15,187,172,194
09-08-15,186,170,195
10-08-15,198,181,189
11-08-15,200,189,193
12-08-15,195,181,205
13-08-15,217,206,214
14-08-15,209,208,203
15-08-15,184,189,175
16-08-15,150,152,170
17-08-15,143,160,156
18-08-15,146,151,150
19-08-15,165,158,189
20-08-15,179,167,192
21-08-15,197,180,213
22-08-15,207,189,223
23-08-15,197,193,199
24-08-15,179,182,176
25-08-15,167,164,172
26-08-15,202,196,197
27-08-15,157,157,160
28-08-15,154,151,167
29-08-15,170,161,185
30-08-15,200,187,205
31-08-15,209,210,194
01-09-15,161,156,165
02-09-15,132,129,153
03-09-15,122,124,140
04-09-15,135,131,141
05-09-15,132,126,141
06-09-15,131,127,140
07-09-15,142,141,153
08-09-15,139,133,150
09-09-15,131,123,159
10-09-15,143,123,155
11-09-15,143,129,159
12-09-15,157,149,167
13-09-15,166,169,140
14-09-15,145,151,146
15-09-15,125,125,138
16-09-15,154,150,161
17-09-15,144,145,149
18-09-15,139,137,142
19-09-15,134,130,146
20-09-15,135,134,150
21-09-15,146,142,147
22-09-15,131,125,133
23-09-15,132,123,143
24-09-15,126,121,141
25-09-15,116,119,135
26-09-15,104,98,135
27-09-15,110,109,133
28-09-15,105,116,132
29-09-15,117,101,133
30-09-15,123,109,134
01-10-15,106,99,128
02-10-15,103,102,123
03-10-15,103,103,129
04-10-15,103,109,129
05-10-15,131,129,145
06-10-15,153,143,158
07-10-15,149,152,151
08-10-15,124,135,132
09-10-15,102,129,129
10-10-15,109,93,120
11-10-15,65,56,86
12-10-15,48,40,77
13-10-15,38,44,69
14-10-15,51,56,74
15-10-15,63,69,68
16-10-15,77,76,94
17-10-15,81,78,103
18-10-15,84,82,102
19-10-15,105,93,120
20-10-15,95,88,118
21-10-15,97,99,109
22-10-15,119,114,131
23-10-15,114,102,124
24-10-15,118,111,123
25-10-15,99,96,114
26-10-15,105,96,118
27-10-15,111,80,132
28-10-15,106,76,131
29-10-15,107,111,110
30-10-15,102,92,119
31-10-15,98,81,120
01-11-15,77,64,113
02-11-15,69,64,93
03-11-15,90,76,115
04-11-15,122,111,130
05-11-15,133,132,137
06-11-15,155,148,151
07-11-15,164,159,153
08-11-15,131,126,141
09-11-15,136,130,138
10-11-15,145,146,140
11-11-15,127,126,128
12-11-15,133,128,132
13-11-15,114,108,121
14-11-15,97,85,109
15-11-15,143,132,142
16-11-15,125,119,127
17-11-15,135,123,141
18-11-15,131,116,135
19-11-15,112,105,118
20-11-15,79,68,98
21-11-15,43,37,67
22-11-15,26,21,45
23-11-15,32,28,53
24-11-15,42,29,59
25-11-15,54,54,82
26-11-15,40,37,76
27-11-15,45,44,64
28-11-15,67,60,76
29-11-15,102,91,113
30-11-15,95,79,109
01-12-15,97,81,106
02-12-15,110,100,107
03-12-15,98,88,97
04-12-15,94,88,97
05-12-15,79,77,82
06-12-15,105,100,104
07-12-15,105,102,101
08-12-15,98,98,96
09-12-15,76,70,86
10-12-15,59,58,63
11-12-15,70,65,83
12-12-15,76,68,91
13-12-15,68,57,81
14-12-15,76,63,69
15-12-15,74,55,84
16-12-15,114,98,113
17-12-15,136,127,120
18-12-15,118,116,110
19-12-15,122,120,116
20-12-15,116,116,114
21-12-15,104,100,103
22-12-15,130,120,124
23-12-15,106,97,104
24-12-15,98,91,98
25-12-15,96,86,99
26-12-15,131,132,119
27-12-15,118,113,110
28-12-15,89,95,93
29-12-15,75,71,94
30-12-15,69,66,89
31-12-15,78,68,88
