Date,Bilt,Hoogeveen,Vlissingen
01-01-15,30,29,39
02-01-15,73,65,78
03-01-15,38,41,45
04-01-15,39,33,49
05-01-15,24,23,26
06-01-15,28,33,21
07-01-15,45,40,46
08-01-15,65,58,67
09-01-15,99,84,93
10-01-15,95,91,94
11-01-15,64,57,69
12-01-15,84,81,83
13-01-15,86,80,78
14-01-15,44,35,52
15-01-15,79,72,78
16-01-15,55,50,56
17-01-15,30,23,41
18-01-15,22,14,30
19-01-15,10,7,29
20-01-15,8,9,28
21-01-15,-5,-5,14
22-01-15,-12,-14,-4
23-01-15,-28,-29,5
24-01-15,22,7,42
25-01-15,37,23,55
26-01-15,59,40,68
27-01-15,51,40,58
28-01-15,53,43,59
29-01-15,24,18,43
30-01-15,17,9,38
31-01-15,10,15,35
01-02-15,26,5,44
02-02-15,20,13,32
03-02-15,17,8,32
04-02-15,2,-6,23
05-02-15,-7,-11,8
06-02-15,-2,-11,4
07-02-15,15,17,30
08-02-15,50,41,57
09-02-15,57,59,50
10-02-15,57,56,56
11-02-15,42,41,44
12-02-15,26,24,41
13-02-15,46,36,59
14-02-15,66,58,70
15-02-15,26,16,54
16-02-15,9,13,26
17-02-15,33,17,51
18-02-15,18,14,36
19-02-15,35,25,39
20-02-15,53,43,56
21-02-15,32,32,45
22-02-15,32,24,47
23-02-15,59,46,58
24-02-15,54,47,57
25-02-15,48,38,50
26-02-15,63,60,64
27-02-15,49,47,51
28-02-15,51,38,56
01-03-15,83,69,79
02-03-15,53,45,61
03-03-15,44,28,56
04-03-15,51,40,61
05-03-15,57,49,59
06-03-15,66,58,66
07-03-15,84,77,77
08-03-15,93,90,76
09-03-15,88,81,74
10-03-15,76,68,73
11-03-15,27,32,57
12-03-15,54,37,73
13-03-15,46,24,64
14-03-15,34,35,45
15-03-15,56,48,59
16-03-15,63,66,69
17-03-15,76,77,80
18-03-15,56,78,62
19-03-15,68,64,64
20-03-15,49,45,50
21-03-15,64,55,65
22-03-15,43,30,53
23-03-15,31,31,51
24-03-15,57,46,55
25-03-15,59,53,57
26-03-15,50,51,57
27-03-15,57,59,70
28-03-15,69,64,85
29-03-15,93,86,94
30-03-15,72,62,80
31-03-15,90,71,92
01-04-15,65,49,76
02-04-15,63,46,65
03-04-15,70,53,65
04-04-15,54,37,60
05-04-15,53,47,62
06-04-15,69,65,70
07-04-15,71,65,81
08-04-15,86,85,83
09-04-15,104,92,94
10-04-15,113,111,122
11-04-15,90,85,98
12-04-15,100,92,102
13-04-15,84,74,88
14-04-15,119,106,120
15-04-15,138,121,146
16-04-15,99,83,112
17-04-15,85,64,90
18-04-15,90,72,91
19-04-15,78,75,82
20-04-15,109,93,111
21-04-15,100,87,102
22-04-15,85,76,89
23-04-15,94,91,89
24-04-15,124,116,118
25-04-15,121,111,122
26-04-15,106,89,109
27-04-15,80,69,84
28-04-15,60,49,86
29-04-15,89,85,99
30-04-15,98,80,96
01-05-15,87,72,91
02-05-15,97,80,112
03-05-15,130,123,129
04-05-15,154,146,145
05-05-15,154,147,145
06-05-15,122,113,120
07-05-15,118,112,119
08-05-15,142,130,148
09-05-15,133,125,131
10-05-15,128,127,137
11-05-15,176,172,158
12-05-15,146,138,134
13-05-15,127,114,123
14-05-15,112,95,114
15-05-15,94,78,103
16-05-15,105,84,121
17-05-15,119,100,126
18-05-15,111,101,116
19-05-15,100,87,103
20-05-15,105,97,106
21-05-15,119,114,129
22-05-15,149,146,133
23-05-15,124,108,130
24-05-15,126,119,129
25-05-15,124,118,127
26-05-15,118,102,129
27-05-15,135,125,135
28-05-15,129,115,139
29-05-15,111,112,121
30-05-15,112,97,124
31-05-15,126,119,135
01-06-15,127,120,131
02-06-15,148,143,147
03-06-15,138,133,143
04-06-15,156,139,172
05-06-15,214,211,187
06-06-15,156,152,145
07-06-15,139,131,141
08-06-15,125,110,132
09-06-15,116,113,121
10-06-15,154,143,152
11-06-15,179,157,186
12-06-15,216,190,205
13-06-15,175,175,166
14-06-15,153,130,152
15-06-15,133,110,143
16-06-15,114,107,136
17-06-15,160,145,167
18-06-15,143,135,144
19-06-15,127,117,141
20-06-15,130,116,145
21-06-15,144,128,157
22-06-15,127,114,134
23-06-15,126,114,135
24-06-15,158,145,164
25-06-15,182,175,177
26-06-15,205,183,195
27-06-15,176,168,176
28-06-15,173,162,188
29-06-15,180,180,179
30-06-15,206,188,217
01-07-15,260,235,249
